period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
11,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,0.0,9.57957957957958,0.0,9.57957957957958,-9.818318318318319,9.818318318318319,0.6384470899470899,0.0,-0.0,0.0,0.0,140.0
12,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,0.0,6.516516516516518,0.0,6.516516516516518,-0.5660660660660639,0.5660660660660639,0.6310396825396825,0.0,-0.0,0.0,0.0,140.0
13,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,1.1756756756756772,0.0,0.0,0.0,1.1756756756756772,0.0,0.623632275132275,0.0,-0.0,0.0,0.0,140.0
14,0.0,0.0,34.5679012345679,25.4320987654321,0.0,0.0,0.0,-0.0,0.0,4.328828828828829,0.0,0.0,0.0,4.328828828828829,0.0,0.6162248677248676,0.0,-0.0,0.0,0.0,140.0
15,2.967426207569636,0.44511393113544534,34.5679012345679,22.464672557862464,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2.8807118946903785,2.8807118946903785,0.6088174603174602,0.0,-0.0,0.0,0.0,140.0
16,6.967426207569636,1.0451139311354454,34.5679012345679,18.464672557862464,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,-8.887318501296988,8.887318501296988,0.6063381000047666,0.0,-0.0,0.0,0.0,140.0
17,2.9674262075696367,0.4451139311354455,34.5679012345679,22.464672557862464,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-5.733564747543234,5.733564747543234,0.6105015968349302,0.0,-0.0,0.0,0.0,140.0
18,0.0,0.0,17.28395061728395,42.71604938271605,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-17.53003003003003,17.53003003003003,0.6080222365222366,0.0,-0.0,0.0,0.0,70.0
19,2.0,0.3,17.28395061728395,40.71604938271605,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-11.524324324324322,11.524324324324322,0.604318532818533,0.0,-0.0,0.0,0.0,70.0
20,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-7.1246246246246265,7.1246246246246265,0.6039362576862578,0.0,-0.0,0.0,0.0,105.0
