period,time_hour,wind_nominal_mw,wind_lower_mw,wind_upper_mw,wind_worst_mw,wind_fixed_hydrogen_mw,wind_nominal_electric_mw,wind_worst_electric_mw,arrival_nominal_count,arrival_worst_count,in_port_nominal_count,in_port_worst_count,active_quay_cranes_nominal,active_quay_cranes_worst,task_release_nominal_teu,task_release_worst_teu,task_release_rate_teu_per_h,task_done_rate_teu_per_h,base_load_mw,shore_power_nominal_mw,shore_power_worst_mw,quay_crane_power_nominal_mw,quay_crane_power_worst_mw,grid_buy_da_mw,grid_sell_da_mw,grid_buy_rt_mw,grid_sell_rt_mw,agv_charge_count_da,agv_charge_count,agv_charge_power_da_mw,agv_charge_power_rt_mw,agv_container_count,agv_lohc_count,agv_idle_count,lohc_power_da_mw,lohc_power_rt_mw,spill_da_mw,spill_rt_mw,h2_landing_rate_kg_per_h,h2_consumption_rate_kg_per_h,lohc_production_rate_kg_per_h,lohc_outbound_rate_kg_per_h,da_power_balance_residual_mw,rt_power_balance_residual_mw
14,3.5,21.17117117117117,16.936936936936938,25.405405405405407,21.171171171171167,8.468468468468469,12.702702702702702,12.702702702702698,0.0,0.0,5.0,5.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,15.0,15.0,8.0,8.0,13.423974360549323,0.0,13.423974360549328,0.0,1.999999999999976,1.999999999999976,0.29999999999999644,0.2999999999999964,34.5679012345679,5.879630581758918,17.55246818367321,0.3266770632520295,0.3266770632520295,0.0,0.0,166.39501621621622,133.33757683756306,130.6708253008118,149.9305798348524,-1.0547118733938987e-15,-9.992007221626409e-16
15,3.75,25.825825825825824,20.660660660660657,30.99099099099099,25.825825825825824,10.33033033033033,15.495495495495494,15.495495495495494,0.0,0.0,4.0,4.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,12.0,12.0,8.0,8.0,8.231181567756533,0.0,8.23118156775653,0.0,5.999999999999976,5.999999999999976,0.8999999999999964,0.8999999999999964,34.5679012345679,0.0,19.432098765432126,0.3266770632520295,0.3266770632520295,0.0,0.0,144.82529189189188,133.33757683756306,130.6708253008118,0.0,4.440892098500626e-16,-3.1086244689504383e-15
16,4.0,32.432432432432435,25.945945945945947,38.91891891891892,32.432432432432435,12.972972972972974,19.45945945945946,19.45945945945946,0.0,0.0,4.0,4.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,12.0,12.0,8.0,8.0,4.867217603792566,0.0,4.867217603792561,0.0,9.999999999999975,9.999999999999975,1.4999999999999964,1.4999999999999962,34.5679012345679,0.0,15.432098765432126,0.3266770632520295,0.3266770632520295,0.0,0.0,176.66631351351353,133.33757683756306,130.6708253008118,0.0,1.7763568394002505e-15,-5.10702591327572e-15
17,4.25,28.67867867867868,22.942942942942945,34.414414414414416,28.67867867867868,11.471471471471473,17.207207207207205,17.207207207207205,0.0,0.0,4.0,4.0,16.0,16.0,140.0,140.0,560.0,560.0,2.5,12.0,12.0,8.0,8.0,7.719469856044821,0.0,7.719469856044824,0.0,14.0,13.999999999999998,2.1,2.1,34.5679012345679,11.432098765432096,7.105427357601002e-15,0.3266770632520295,0.3266770632520295,0.0,0.0,221.86002162162163,133.33757683756306,130.6708253008118,291.5185185185185,-3.9968028886505635e-15,-4.440892098500626e-16
18,4.5,30.03003003003003,24.024024024024023,36.03603603603604,30.03003003003003,12.012012012012011,18.01801801801802,18.01801801801802,0.0,0.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,0.0,0.318018018018019,0.0,0.3180180180180194,18.0,18.0,2.7,2.7,17.28395061728395,0.0,24.71604938271605,2.5,2.5,0.0,0.0,196.18177837837837,1020.408163265306,1000.0,0.0,-8.881784197001252e-16,-8.881784197001252e-16
19,4.75,24.324324324324323,19.45945945945946,29.189189189189186,24.324324324324323,9.72972972972973,14.594594594594593,14.594594594594593,0.0,0.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,0.2054054054054071,0.0,0.2054054054054042,0.0,14.0,13.999999999999996,2.1,2.099999999999999,17.28395061728395,0.0,28.71604938271605,0.2,0.2,0.0,0.0,205.42594594594593,81.63265306122447,80.0,0.0,4.440892098500626e-16,-2.220446049250313e-15
20,5.0,24.624624624624627,19.6996996996997,29.549549549549553,24.624624624624623,9.849849849849852,14.774774774774775,14.774774774774771,1.0,1.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,4.425225225225225,0.0,4.425225225225226,0.0,10.0,9.999999999999996,1.5,1.4999999999999991,25.925925925925927,0.0,24.07407407407408,0.2,0.2,0.0,0.0,166.39501621621622,81.63265306122447,80.0,0.0,-6.661338147750939e-16,-3.3306690738754696e-15
21,5.25,21.77177177177177,17.41741741741742,26.126126126126124,21.77177177177177,8.70870870870871,13.063063063063062,13.063063063063062,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,5.536936936936939,0.0,5.836936936936937,0.0,6.0,8.0,0.9,1.2,25.925925925925927,0.0,26.07407407407408,0.2,0.2,0.0,0.0,168.4492756756757,81.63265306122447,80.0,0.0,1.4432899320127035e-15,-1.3322676295501878e-15
22,5.5,22.52252252252252,18.01801801801802,27.027027027027028,22.522522522522518,9.00900900900901,13.513513513513512,13.513513513513509,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,4.786486486486486,0.0,4.786486486486488,0.0,4.0,4.0,0.6,0.6,25.925925925925927,0.0,30.07407407407408,0.2,0.2,0.0,0.0,148.93381081081083,81.63265306122447,80.0,0.0,-2.7755575615628914e-15,-2.7755575615628914e-15
23,5.75,18.468468468468473,14.774774774774778,22.16216216216217,18.468468468468476,7.387387387387389,11.081081081081084,11.081081081081088,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,6.618918918918916,0.0,6.618918918918915,0.0,0.0,0.0,0.0,0.0,25.925925925925927,34.07407407407408,0.0,0.2,0.2,0.0,0.0,154.06945945945944,81.63265306122447,80.0,868.8888888888889,-7.216449660063518e-16,2.831068712794149e-15
24,6.0,15.915915915915916,12.732732732732734,19.0990990990991,15.915915915915916,6.366366366366367,9.54954954954955,9.54954954954955,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,8.45045045045045,0.0,8.450450450450452,0.0,2.0,2.0,0.3,0.3,25.925925925925927,0.0,32.07407407407408,0.2,0.1999999999999982,0.0,0.0,126.33695675675678,81.63265306122376,79.99999999999929,0.0,0.0,1.8318679906315083e-15
25,6.25,15.465465465465465,12.372372372372372,18.55855855855856,15.465465465465465,6.1861861861861875,9.279279279279278,9.279279279279278,0.0,0.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,3.4207207207207206,0.0,3.420720720720721,0.0,0.0,0.0,0.0,0.0,17.28395061728395,42.71604938271605,0.0,0.2,0.2,0.0,0.0,108.87575135135135,81.63265306122447,80.0,1089.2592592592594,-7.216449660063518e-16,-7.216449660063518e-16
26,6.5,13.213213213213214,10.570570570570572,15.855855855855856,13.213213213213214,5.285285285285286,7.927927927927928,7.927927927927928,0.0,0.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,4.772072072072072,0.0,4.772072072072072,0.0,0.0,0.0,0.0,0.0,17.28395061728395,0.0,42.71604938271605,0.2,0.2,0.0,0.0,105.79436216216217,81.63265306122447,80.0,0.0,-7.216449660063518e-16,-7.216449660063518e-16
27,6.75,13.363363363363366,10.690690690690694,16.036036036036037,13.363363363363364,5.345345345345347,8.018018018018019,8.018018018018017,0.0,0.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,5.281981981981981,0.0,5.281981981981982,0.0,4.0,4.0,0.6,0.6,17.28395061728395,0.0,38.71604938271605,0.2,0.2,0.0,0.0,90.38741621621622,81.63265306122447,80.0,0.0,7.771561172376096e-16,-9.992007221626409e-16
28,7.0,12.312312312312313,9.84984984984985,14.774774774774777,12.312312312312311,4.924924924924926,7.387387387387387,7.387387387387386,0.0,0.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,5.812612612612613,0.0,5.812612612612613,0.0,3.333333333333332,3.333333333333333,0.49999999999999983,0.4999999999999999,17.28395061728395,0.0,39.38271604938272,0.2,0.2,0.0,0.0,91.41454594594596,81.63265306122447,80.0,0.0,-5.551115123125783e-16,-6.106226635438361e-16
29,7.25,16.366366366366368,13.093093093093096,19.63963963963964,16.366366366366368,6.546546546546548,9.81981981981982,9.81981981981982,0.0,0.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,3.98018018018018,0.0,3.980180180180181,0.0,7.333333333333332,7.333333333333333,1.0999999999999999,1.1,17.28395061728395,0.0,35.382716049382715,0.2,0.2,0.0,0.0,84.22463783783785,81.63265306122447,80.0,0.0,8.881784197001252e-16,6.661338147750939e-16
30,7.5,14.414414414414415,11.531531531531531,17.2972972972973,14.414414414414415,5.7657657657657655,8.64864864864865,8.64864864864865,0.0,0.0,1.0,1.0,4.0,4.0,35.0,35.0,140.0,140.0,2.5,3.0,3.0,2.0,2.0,0.7513513513513506,0.0,0.7513513513513495,0.0,11.333333333333332,11.333333333333332,1.6999999999999997,1.6999999999999995,8.641975308641975,0.0,40.0246913580247,0.2,0.2,0.0,0.0,111.95714054054055,81.63265306122447,80.0,0.0,6.661338147750939e-16,-8.881784197001252e-16
31,7.75,16.666666666666668,13.333333333333334,20.0,16.666666666666668,6.666666666666668,10.0,10.0,0.0,0.0,1.0,1.0,4.0,4.0,35.0,35.0,140.0,140.0,2.5,3.0,3.0,2.0,2.0,0.0,0.0,0.0,-0.0,15.333333333333332,15.333333333333332,2.3,2.3,8.641975308641975,0.0,36.0246913580247,0.2,0.2000000000000001,0.0,0.0,98.60445405405405,81.63265306122456,80.00000000000007,0.0,0.0,0.0
32,8.0,16.666666666666668,13.333333333333334,20.0,16.666666666666668,6.666666666666668,10.0,10.0,0.0,0.0,1.0,1.0,4.0,4.0,35.0,35.0,140.0,140.0,2.5,3.0,3.0,2.0,2.0,0.0,0.0,0.0,-0.0,15.333333333333332,15.333333333333332,2.3,2.3,8.641975308641975,0.0,36.0246913580247,0.2,0.2,0.0,0.0,114.01140000000001,81.63265306122447,80.0,0.0,0.0,0.0
33,8.25,15.015015015015015,12.012012012012011,18.01801801801802,15.015015015015017,6.006006006006006,9.00900900900901,9.009009009009011,0.0,0.0,1.0,1.0,4.0,4.0,35.0,35.0,140.0,140.0,2.5,3.0,3.0,2.0,2.0,0.3909909909909903,0.0,0.390990990990991,0.0,11.333333333333332,11.333333333333332,1.6999999999999997,1.6999999999999995,8.641975308641975,0.0,40.0246913580247,0.2,0.2000000000000006,0.0,0.0,114.01140000000001,81.63265306122476,80.00000000000026,0.0,6.661338147750939e-16,1.9984014443252818e-15
34,8.5,13.513513513513514,10.81081081081081,16.216216216216218,13.513513513513512,5.405405405405406,8.108108108108109,8.108108108108105,1.0,1.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,5.691891891891893,0.0,5.691891891891894,0.0,7.333333333333332,7.333333333333333,1.0999999999999999,1.1,17.28395061728395,17.638344226579598,17.74437182280312,0.2,0.2,0.0,0.0,102.71297297297296,81.63265306122447,80.0,449.77777777777976,8.881784197001252e-16,-1.1102230246251565e-15
35,8.75,13.363363363363366,10.690690690690694,16.036036036036037,13.363363363363364,5.345345345345347,8.018018018018019,8.018018018018017,0.0,0.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,5.1819819819819815,0.0,5.181981981981981,0.0,3.333333333333333,3.333333333333333,0.49999999999999994,0.5,17.28395061728395,0.0,39.38271604938272,0.2,0.2,0.0,0.0,92.44167567567568,81.63265306122447,80.0,0.0,-6.661338147750939e-16,-2.4980018054066022e-15
36,9.0,15.615615615615617,12.492492492492495,18.738738738738743,15.615615615615617,6.246246246246248,9.36936936936937,9.36936936936937,0.0,0.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,3.330630630630629,0.0,3.3306306306306297,0.0,0.0,0.0,0.0,0.0,17.28395061728395,42.71604938271605,0.0,0.2,0.2,0.0,0.0,91.41454594594596,81.63265306122447,80.0,1089.2592592592594,-7.216449660063518e-16,-7.216449660063518e-16
37,9.25,19.66966966966967,15.735735735735735,23.603603603603606,19.66966966966967,7.867867867867869,11.801801801801801,11.801801801801801,0.0,0.0,2.0,2.0,8.0,8.0,70.0,70.0,280.0,280.0,2.5,6.0,6.0,4.0,4.0,0.8981981981981988,0.0,0.8981981981981981,0.0,0.0,0.0,0.0,0.0,17.28395061728395,0.0,42.71604938271605,0.2,0.2,0.0,0.0,106.82149189189191,81.63265306122447,80.0,0.0,-7.216449660063518e-16,-7.216449660063518e-16
38,9.5,30.33033033033033,24.264264264264263,36.3963963963964,30.33033033033033,12.132132132132131,18.1981981981982,18.1981981981982,1.0,1.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,0.0,0.0,0.0,3.552713678800501e-15,3.3213213213213018,3.3213213213213018,0.4981981981981953,0.4981981981981952,25.925925925925927,0.0,30.752752752752773,0.2,0.2,0.0,0.0,134.5539945945946,81.63265306122447,80.0,0.0,3.552713678800501e-15,5.551115123125783e-17
39,9.75,27.92792792792793,22.342342342342345,33.513513513513516,27.92792792792793,11.171171171171173,16.756756756756758,16.756756756756758,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,0.943243243243242,0.0,0.9432432432432448,0.0,0.0,0.0,0.0,0.0,25.925925925925927,0.0,34.07407407407408,0.2,0.2,0.0,0.0,207.4802054054054,81.63265306122447,80.0,0.0,-7.216449660063518e-16,2.831068712794149e-15
40,10.0,20.57057057057057,16.456456456456458,24.684684684684683,20.57057057057057,8.228228228228229,12.342342342342342,12.342342342342342,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,5.357657657657659,0.0,5.357657657657658,0.0,0.0,0.0,0.0,0.0,25.925925925925927,0.0,34.07407407407408,0.2,0.2,0.0,0.0,191.04612972972973,81.63265306122447,80.0,0.0,-7.216449660063518e-16,-7.216449660063518e-16
41,10.25,19.219219219219223,15.375375375375379,23.063063063063066,19.219219219219223,7.687687687687689,11.531531531531535,11.531531531531535,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,6.168468468468466,0.0,6.168468468468465,0.0,0.0,0.0,0.0,0.0,25.925925925925927,0.0,34.07407407407408,0.2,0.2,0.0,0.0,140.71677297297296,81.63265306122447,80.0,0.0,-7.216449660063518e-16,-7.216449660063518e-16
42,10.5,16.666666666666668,13.333333333333334,20.0,16.666666666666668,6.666666666666668,10.0,10.0,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,8.3,0.0,8.3,0.0,4.000000000000004,4.000000000000004,0.6000000000000006,0.6000000000000005,25.925925925925927,0.0,30.074074074074076,0.2,0.2,0.0,0.0,131.47260540540543,81.63265306122447,80.0,0.0,1.1102230246251565e-16,2.220446049250313e-16
43,10.75,19.06906906906907,15.255255255255253,22.882882882882882,19.06906906906907,7.627627627627628,11.441441441441441,11.441441441441441,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,6.258558558558559,0.0,6.258558558558558,0.0,0.0,0.0,0.0,0.0,25.925925925925927,0.0,34.07407407407408,0.2,0.2,0.0,0.0,114.01140000000001,81.63265306122447,80.0,0.0,-7.216449660063518e-16,-7.216449660063518e-16
44,11.0,19.36936936936937,15.495495495495497,23.243243243243246,19.36936936936937,7.7477477477477485,11.621621621621621,11.621621621621621,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,6.678378378378377,0.0,6.67837837837838,0.0,4.0,4.0,0.6,0.6,25.925925925925927,0.0,30.07407407407408,0.2,0.2,0.0,0.0,130.44547567567568,81.63265306122447,80.0,0.0,-2.7755575615628914e-15,7.771561172376096e-16
45,11.25,18.16816816816817,14.534534534534536,21.801801801801805,18.16816816816817,7.267267267267268,10.9009009009009,10.9009009009009,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,6.799099099099098,0.0,6.799099099099099,0.0,0.0,0.0,0.0,0.0,25.925925925925927,0.0,34.07407407407408,0.2,0.2,0.0,0.0,132.49973513513515,81.63265306122447,80.0,0.0,-7.216449660063518e-16,-7.216449660063518e-16
46,11.5,18.31831831831832,14.654654654654653,21.98198198198198,18.318318318318322,7.327327327327327,10.99099099099099,10.990990990990994,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,6.7090090090090095,0.0,6.709009009009009,0.0,0.0,0.0,0.0,0.0,25.925925925925927,0.0,34.07407407407408,0.2,0.2,0.0,0.0,124.2826972972973,81.63265306122447,80.0,0.0,-7.216449660063518e-16,2.831068712794149e-15
47,11.75,19.51951951951952,15.615615615615614,23.423423423423426,19.51951951951952,7.807807807807808,11.711711711711711,11.711711711711711,0.0,0.0,3.0,3.0,12.0,12.0,105.0,105.0,420.0,420.0,2.5,9.0,9.0,6.0,6.0,6.288288288288287,0.0,6.288288288288289,0.0,2.0,2.0,0.3,0.3,25.925925925925927,0.0,32.07407407407408,0.2,0.2,0.0,0.0,125.30982702702701,81.63265306122447,80.0,0.0,0.0,0.0
48,12.0,12.462462462462463,9.96996996996997,14.954954954954955,12.462462462462465,4.984984984984985,7.477477477477478,7.47747747747748,1.0,0.0,4.0,3.0,16.0,12.0,140.0,105.0,420.0,420.0,2.5,12.0,9.0,8.0,6.0,15.22252252252252,0.0,15.222522522522516,0.0,0.0,6.0,0.0,0.8999999999999999,25.925925925925927,28.07407407407408,0.0,0.2,1.4,0.0,2.899999999999999,133.52686486486485,571.4285714285714,560.0,715.8888888888889,-4.274358644806853e-15,-3.1086244689504383e-15
49,12.25,14.114114114114116,11.291291291291293,16.936936936936938,14.114114114114116,5.645645645645647,8.468468468468469,8.468468468468469,0.0,0.0,4.0,3.0,16.0,12.0,140.0,105.0,420.0,420.0,2.5,12.0,9.0,8.0,6.0,14.23153153153153,0.0,14.231531531531529,0.0,0.0,6.0,0.0,0.8999999999999999,25.925925925925927,28.07407407407408,0.0,0.2,1.4,0.0,2.899999999999999,85.25176756756757,571.4285714285714,560.0,715.8888888888889,-7.216449660063518e-16,-3.1086244689504383e-15
