policy_case,scenario_case,scenario_sha256,series,period,time_hour,value
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,55,13.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,56,14.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,57,14.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,58,14.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,59,14.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,60,15.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,61,15.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,62,15.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,63,15.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,64,16.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,65,16.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,66,16.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,67,16.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,68,17.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,69,17.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,70,17.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,71,17.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,72,18.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,73,18.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,74,18.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,75,18.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,76,19.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,77,19.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,78,19.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,79,19.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,80,20.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,81,20.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,82,20.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,83,20.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,84,21.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,85,21.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,86,21.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,87,21.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,88,22.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,89,22.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,90,22.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,91,22.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,92,23.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,93,23.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,94,23.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,95,23.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,backlog_teu,96,24.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,0,0.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,1,0.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,2,0.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,3,0.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,4,1.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,5,1.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,6,1.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,7,1.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,8,2.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,9,2.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,10,2.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,11,2.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,12,3.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,13,3.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,14,3.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,15,3.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,16,4.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,17,4.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,18,4.5,17.28395061728395
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,19,4.75,17.28395061728395
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,20,5.0,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,21,5.25,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,22,5.5,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,23,5.75,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,24,6.0,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,25,6.25,17.28395061728395
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,26,6.5,17.28395061728395
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,27,6.75,17.28395061728395
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,28,7.0,17.28395061728395
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,29,7.25,17.28395061728395
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,30,7.5,8.641975308641975
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,31,7.75,8.641975308641975
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,32,8.0,8.641975308641975
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,33,8.25,8.641975308641975
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,34,8.5,8.641975308641975
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,35,8.75,8.641975308641975
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,36,9.0,8.641975308641975
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,37,9.25,17.28395061728395
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,38,9.5,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,39,9.75,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,40,10.0,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,41,10.25,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,42,10.5,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,43,10.75,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,44,11.0,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,45,11.25,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,46,11.5,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,47,11.75,25.925925925925927
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,48,12.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,49,12.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,50,12.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,51,12.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,52,13.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,53,13.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,54,13.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,55,13.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,56,14.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,57,14.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,58,14.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,59,14.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,60,15.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,61,15.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,62,15.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,63,15.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,64,16.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,65,16.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,66,16.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,67,16.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,68,17.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,69,17.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,70,17.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,71,17.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,72,18.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,73,18.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,74,18.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,75,18.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,76,19.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,77,19.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,78,19.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,79,19.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,80,20.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,81,20.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,82,20.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,83,20.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,84,21.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,85,21.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,86,21.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,87,21.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,88,22.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,89,22.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,90,22.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,91,22.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,92,23.0,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,93,23.25,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,94,23.5,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_container_count,95,23.75,34.5679012345679
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,0,0.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,1,0.25,25.432098765432094
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,2,0.5,25.432098765432094
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,3,0.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,4,1.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,5,1.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,6,1.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,7,1.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,8,2.0,21.432098765432094
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,9,2.25,21.60994585377893
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,10,2.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,11,2.75,21.60994585377893
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,12,3.0,25.432098765432094
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,13,3.25,25.432098765432094
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,14,3.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,15,3.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,16,4.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,17,4.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,18,4.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,19,4.75,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,20,5.0,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,21,5.25,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,22,5.5,0.0
C1,C3,681019642d64a6a1daa47d0330d8d1356023f2453bec024b05fbc092b93c117f,agv_lohc_count,23,5.75,0.0
