family,period,value
grid_sell_da_mw,38,10.73033033033033
grid_sell_da_mw,39,8.927927927927929
grid_sell_da_mw,40,2.1705705705705705
grid_sell_da_mw,41,1.419219219219223
grid_sell_da_mw,42,0.0
grid_sell_da_mw,43,0.9690690690690694
grid_sell_da_mw,44,0.6693693693693696
grid_sell_da_mw,45,0.0
grid_sell_da_mw,46,0.0
grid_sell_da_mw,47,1.4195195195195196
grid_sell_da_mw,48,0.0
grid_sell_da_mw,49,0.0
grid_sell_da_mw,50,0.0
grid_sell_da_mw,51,0.0
grid_sell_da_mw,52,0.0
grid_sell_da_mw,53,0.0
grid_sell_da_mw,54,0.0
grid_sell_da_mw,55,0.0
grid_sell_da_mw,56,0.0
grid_sell_da_mw,57,0.0
grid_sell_da_mw,58,0.0
grid_sell_da_mw,59,0.0
grid_sell_da_mw,60,0.0
grid_sell_da_mw,61,0.0
grid_sell_da_mw,62,0.0
grid_sell_da_mw,63,0.0
grid_sell_da_mw,64,0.0
grid_sell_da_mw,65,0.0
grid_sell_da_mw,66,0.0
grid_sell_da_mw,67,0.0
grid_sell_da_mw,68,0.0
grid_sell_da_mw,69,0.0
grid_sell_da_mw,70,0.0
grid_sell_da_mw,71,0.0
grid_sell_da_mw,72,0.0
grid_sell_da_mw,73,0.0
grid_sell_da_mw,74,0.0
grid_sell_da_mw,75,0.0
grid_sell_da_mw,76,0.0
grid_sell_da_mw,77,0.0
grid_sell_da_mw,78,0.0
grid_sell_da_mw,79,0.0
grid_sell_da_mw,80,0.0
grid_sell_da_mw,81,0.0
grid_sell_da_mw,82,0.0
grid_sell_da_mw,83,0.0
grid_sell_da_mw,84,0.0
grid_sell_da_mw,85,0.0
grid_sell_da_mw,86,0.0
grid_sell_da_mw,87,0.0
grid_sell_da_mw,88,0.0
grid_sell_da_mw,89,0.0
grid_sell_da_mw,90,0.0
grid_sell_da_mw,91,0.0
grid_sell_da_mw,92,0.0
grid_sell_da_mw,93,0.0
grid_sell_da_mw,94,0.0
grid_sell_da_mw,95,0.0
spill_da_mw,0,0.0
spill_da_mw,1,0.0
spill_da_mw,2,0.0
spill_da_mw,3,0.0
spill_da_mw,4,0.0
spill_da_mw,5,0.0
spill_da_mw,6,0.0
spill_da_mw,7,0.0
spill_da_mw,8,0.0
spill_da_mw,9,0.0
spill_da_mw,10,0.0
spill_da_mw,11,0.0
spill_da_mw,12,0.0
spill_da_mw,13,0.0
spill_da_mw,14,0.0
spill_da_mw,15,0.0
spill_da_mw,16,0.0
spill_da_mw,17,0.0
spill_da_mw,18,0.0
spill_da_mw,19,0.0
spill_da_mw,20,0.0
spill_da_mw,21,0.0
spill_da_mw,22,0.0
spill_da_mw,23,0.0
spill_da_mw,24,0.0
spill_da_mw,25,0.0
spill_da_mw,26,0.0
spill_da_mw,27,0.0
spill_da_mw,28,0.0
spill_da_mw,29,0.0
spill_da_mw,30,0.0
spill_da_mw,31,0.0
spill_da_mw,32,0.0
spill_da_mw,33,0.0
spill_da_mw,34,0.0
spill_da_mw,35,0.0
spill_da_mw,36,0.0
spill_da_mw,37,0.0
spill_da_mw,38,0.0
spill_da_mw,39,0.0
spill_da_mw,40,0.0
spill_da_mw,41,0.0
spill_da_mw,42,0.0
spill_da_mw,43,0.0
spill_da_mw,44,0.0
spill_da_mw,45,0.0
spill_da_mw,46,0.0
spill_da_mw,47,0.0
spill_da_mw,48,0.0
spill_da_mw,49,0.0
spill_da_mw,50,0.0
spill_da_mw,51,0.0
spill_da_mw,52,0.0
spill_da_mw,53,0.0
spill_da_mw,54,0.0
spill_da_mw,55,0.0
spill_da_mw,56,0.0
spill_da_mw,57,0.0
spill_da_mw,58,0.0
spill_da_mw,59,0.0
spill_da_mw,60,0.0
spill_da_mw,61,0.0
spill_da_mw,62,0.0
spill_da_mw,63,0.0
spill_da_mw,64,0.0
spill_da_mw,65,0.0
spill_da_mw,66,0.0
spill_da_mw,67,0.0
spill_da_mw,68,0.0
spill_da_mw,69,0.0
spill_da_mw,70,0.0
spill_da_mw,71,0.0
spill_da_mw,72,0.0
spill_da_mw,73,0.0
spill_da_mw,74,0.0
spill_da_mw,75,0.0
spill_da_mw,76,0.0
spill_da_mw,77,0.0
spill_da_mw,78,0.0
spill_da_mw,79,0.0
spill_da_mw,80,0.0
spill_da_mw,81,0.0
spill_da_mw,82,0.0
spill_da_mw,83,0.0
spill_da_mw,84,0.0
spill_da_mw,85,0.0
spill_da_mw,86,0.0
spill_da_mw,87,0.0
spill_da_mw,88,0.0
spill_da_mw,89,0.0
spill_da_mw,90,0.0
spill_da_mw,91,0.0
spill_da_mw,92,0.0
spill_da_mw,93,0.0
spill_da_mw,94,0.0
spill_da_mw,95,0.0
