period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,agv_lohc_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,hydrogen_inventory,hydrogen_inventory_kg,hydrogen_to_lohc_kg,lohc_deviation_mw,lohc_deviation_negative_mw,lohc_deviation_positive_mw,lohc_inventory,lohc_inventory_kg,lohc_outbound_kg,lohc_outbound_normalized,lohc_power_rt_mw,lohc_production_kg,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
21,8.0,1.2,25.925925925925927,26.074074074074076,0.0,0.0,0.0,0.30000000000000004,0.0,0.30000000000000004,5.836936936936937,0.2999999999999985,0.0,0.29999999999999805,5.836936936936937,0.0,0.6373127669137526,1306.4911721731928,20.408163265306122,0.0,-0.0,0.0,0.9619047619047618,1009.9999999999999,0.0,0.0,0.2,20.0,0.6905039898556509,0.0,-0.0,0.0,0.0,105.0
22,4.0,0.6,25.925925925925927,30.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,4.7864864864864884,0.0,0.0,2.6645352591003757e-15,4.7864864864864884,0.0,0.647900159915515,1328.1953278268056,20.408163265306122,0.0,-0.0,0.0,0.9809523809523809,1030.0,0.0,0.0,0.2,20.0,0.6982341485858096,0.0,-0.0,0.0,0.0,105.0
23,0.0,0.0,25.925925925925927,0.0,34.074074074074076,0.0,0.0,0.0,-0.0,0.0,6.618918918918915,0.0,8.881784197001252e-16,0.0,6.618918918918915,0.0,0.6561076181776596,1345.0206172642022,20.408163265306122,0.0,-0.0,0.0,1.0,1050.0,217.22222222222223,0.20687830687830688,0.2,20.0,0.6993214501731112,0.0,-0.0,0.0,0.0,105.0
24,2.0,0.3,25.925925925925927,32.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,8.450450450450452,0.0,0.0,1.7763568394002505e-15,8.450450450450452,0.0,0.6649413750554931,1363.1298188637609,20.40816326530594,0.0,1.7763568394002505e-15,0.0,0.8121693121693121,852.7777777777777,0.0,0.0,0.19999999999999823,19.999999999999822,0.6864643073159683,0.0,-0.0,0.0,0.0,105.0
25,0.0,0.0,17.28395061728395,0.0,42.71604938271605,0.0,0.0,0.0,-0.0,0.0,3.4207207207207215,0.0,0.0,8.881784197001252e-16,3.4207207207207215,0.0,0.6703931194086069,1374.305894787644,20.408163265306122,0.0,-0.0,0.0,0.831216931216931,872.7777777777775,272.31481481481484,0.25934744268077603,0.2,20.0,0.6842301803318414,0.0,-0.0,0.0,0.0,70.0
26,0.0,0.0,17.28395061728395,42.71604938271605,0.0,0.0,0.0,0.0,-0.0,0.0,4.772072072072072,0.0,0.0,0.0,4.772072072072072,0.0,0.6737154484683785,1381.1166693601758,20.408163265306122,0.0,-0.0,0.0,0.590917107583774,620.4629629629627,0.0,0.0,0.2,20.0,0.6713730374746985,0.0,-0.0,0.0,0.0,70.0
27,4.0,0.6,17.28395061728395,38.71604938271605,0.0,0.0,0.0,0.0,-0.0,0.0,5.281981981981982,0.0,0.0,8.881784197001252e-16,5.281981981981982,0.0,0.6766619983587367,1387.1570966354104,20.408163265306122,0.0,-0.0,0.0,0.6099647266313931,640.4629629629628,0.0,0.0,0.2,20.0,0.6676693337709948,0.0,-0.0,0.0,0.0,70.0
28,3.333333333333333,0.49999999999999994,17.28395061728395,39.382716049382715,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,5.812612612612613,0.0,0.0,0.0,5.812612612612613,0.0,0.6777296524020284,1389.3457874241583,20.408163265306122,0.0,-0.0,0.0,0.6290123456790122,660.4629629629628,0.0,0.0,0.2,20.0,0.6706084872101482,0.0,-0.0,0.0,0.0,70.0
29,7.333333333333333,1.0999999999999999,17.28395061728395,35.382716049382715,0.0,0.0,0.0,0.0,-0.0,0.0,3.980180180180181,0.0,0.0,8.881784197001252e-16,3.980180180180181,0.0,0.6789225661684579,1391.7912606453388,20.408163265306122,0.0,-0.0,0.0,0.6480599647266313,680.4629629629628,0.0,0.0,0.2,20.0,0.6724404977921588,0.0,-0.0,0.0,0.0,70.0
30,11.333333333333332,1.6999999999999997,8.641975308641975,40.0246913580247,0.0,0.0,0.0,0.0,-0.0,0.0,0.7513513513513495,0.0,1.1102230246251565e-15,0.0,0.7513513513513495,0.0,0.6792386618729229,1392.439256839492,20.408163265306122,0.0,-0.0,0.0,0.6671075837742504,700.4629629629629,0.0,0.0,0.2,20.0,0.6809153655170265,0.0,-0.0,0.0,0.0,35.0
