period,agv_charge_count,agv_charge_power_rt_mw,agv_container_count,agv_idle_count,agv_lohc_count,backlog,backlog_tasks,charge_deviation_mw,charge_deviation_negative_mw,charge_deviation_positive_mw,grid_buy_rt_mw,grid_deviation_mw,grid_deviation_negative_mw,grid_deviation_positive_mw,grid_rt_mw,grid_sell_rt_mw,hydrogen_inventory,hydrogen_inventory_kg,hydrogen_to_lohc_kg,lohc_deviation_mw,lohc_deviation_negative_mw,lohc_deviation_positive_mw,lohc_inventory,lohc_inventory_kg,lohc_outbound_kg,lohc_outbound_normalized,lohc_power_rt_mw,lohc_production_kg,soc,spill_deviation_mw,spill_deviation_negative_mw,spill_deviation_positive_mw,spill_rt_mw,task_done
19,14.000000000000002,2.1,32.0,13.999999999999998,0.0,0.010633333333333333,127.6,0.0,-0.0,0.0,0.20540540540540775,0.0,0.0,6.661338147750939e-16,0.20540540540540775,0.0,0.6118791503235433,1254.3522581632637,20.408163265306122,0.0,-0.0,0.0,0.7889380368242314,828.384938665443,0.0,0.0,0.2,20.0,0.6704590485370496,0.0,-0.0,0.0,0.0,129.6
20,10.000000000000002,1.5000000000000002,32.0,18.0,0.0,0.005666666666666667,68.0,0.0,-0.0,0.0,4.425225225225226,0.0,0.0,8.881784197001252e-16,4.425225225225226,0.0,0.6269758933582654,1285.300581384444,20.408163265306122,0.0,-0.0,0.0,0.8079856558718505,848.384938665443,0.0,0.0,0.2,20.0,0.6868519056799067,0.0,-0.0,0.0,0.0,129.6
21,6.000000000000002,0.9000000000000002,32.0,22.0,0.0,0.0036166666666666673,43.400000000000006,0.0,-0.0,0.0,5.536936936936936,0.0,2.6645352591003757e-15,0.0,5.536936936936936,0.0,0.6373127669137523,1306.4911721731921,20.408163265306122,0.0,-0.0,0.0,0.8270332749194695,868.384938665443,0.0,0.0,0.2,20.0,0.6966019056799067,0.0,-0.0,0.0,0.0,129.6
22,2.0000000000000018,0.30000000000000027,30.567901234567906,-1.7763568394002505e-15,27.432098765432094,0.0015666666666666676,18.80000000000001,0.0,-0.0,0.0,4.486486486486488,0.0,0.0,1.7763568394002505e-15,4.486486486486488,0.0,0.6479001599155146,1328.195327826805,20.408163265306122,0.0,-0.0,0.0,0.8460808939670886,888.3849386654431,174.8796296296296,0.16655202821869486,0.2,20.0,0.6997090485370495,0.0,-0.0,0.0,0.0,123.80000000000001
23,0.0,0.0,25.925925925925927,6.074074074074076,28.0,0.0,0.0,0.0,-0.0,0.0,6.618918918918915,0.0,8.881784197001252e-16,0.0,6.618918918918915,0.0,0.6561076181776593,1345.0206172642015,20.408163265306122,0.0,-0.0,0.0,0.6985764847960128,733.5053090358134,178.5,0.17,0.2,20.0,0.6906019056799066,0.0,-0.0,0.0,0.0,105.0
24,0.0,0.0,25.925925925925927,34.074074074074076,0.0,0.0,0.0,0.0,-0.0,0.0,8.150450450450451,0.0,0.0,1.7763568394002505e-15,8.150450450450451,0.0,0.6649413750554928,1363.1298188637602,20.408163265306122,0.0,-0.0,0.0,0.5476241038436318,575.0053090358134,0.0,0.0,0.2,20.0,0.6790463501243511,0.0,-0.0,0.0,0.0,105.0
25,0.0,0.0,17.28395061728395,42.71604938271605,0.0,0.0,0.0,0.0,-0.0,0.0,3.4207207207207215,0.0,0.0,8.881784197001252e-16,3.4207207207207215,0.0,0.6703931194086065,1374.3058947876432,20.408163265306122,0.0,-0.0,0.0,0.5666717228912509,595.0053090358134,0.0,0.0,0.2,20.0,0.6734907945687956,0.0,-0.0,0.0,0.0,70.0
26,0.0,0.0,17.28395061728395,42.71604938271605,0.0,0.0,0.0,0.0,-0.0,0.0,4.772072072072072,0.0,8.881784197001252e-16,0.0,4.772072072072072,0.0,0.673715448468378,1381.116669360175,20.408163265306122,0.0,-0.0,0.0,0.58571934193887,615.0053090358135,0.0,0.0,0.2,20.0,0.6697870908650919,0.0,-0.0,0.0,0.0,70.0
27,0.0,0.0,17.28395061728395,42.71604938271605,0.0,0.0,0.0,0.0,-0.0,0.0,4.681981981981981,0.0,8.881784197001252e-16,0.0,4.681981981981981,0.0,0.6766619983587363,1387.1570966354095,20.408163265306122,0.0,-0.0,0.0,0.6047669609864891,635.0053090358135,0.0,0.0,0.2,20.0,0.6660833871613883,0.0,-0.0,0.0,0.0,70.0
28,4.0,0.6,17.28395061728395,38.71604938271605,0.0,0.0,0.0,0.0,-0.0,0.0,5.912612612612614,0.0,0.0,1.7763568394002505e-15,5.912612612612614,0.0,0.677729652402028,1389.3457874241574,20.408163265306015,0.0,1.0547118733938987e-15,0.0,0.6238145800341082,655.0053090358135,0.0,0.0,0.19999999999999896,19.999999999999893,0.6623796834576846,0.0,-0.0,0.0,0.0,70.0
29,8.0,1.2,17.28395061728395,6.716049382716051,28.0,0.0,0.0,0.10000000000000009,0.0,0.10000000000000009,4.080180180180179,0.0999999999999992,0.0,0.09999999999999876,4.080180180180179,0.0,0.6789225661684575,1391.7912606453378,20.408163265306122,0.0,-0.0,0.0,0.6428621990817271,675.0053090358135,178.5,0.17,0.2,20.0,0.665318836896838,0.0,-0.0,0.0,0.0,70.0
30,11.333333333333332,1.6999999999999997,8.641975308641975,40.0246913580247,0.0,0.0,0.0,0.0,-0.0,0.0,0.7513513513513495,0.0,1.1102230246251565e-15,0.0,0.7513513513513495,0.0,0.6792386618729225,1392.439256839491,20.408163265306122,0.0,-0.0,0.0,0.4919098181293462,516.5053090358135,0.0,0.0,0.2,20.0,0.6689008474788486,0.0,-0.0,0.0,0.0,35.0
31,15.333333333333332,2.3,8.641975308641975,8.024691358024693,28.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.6829367701021074,1400.02037870932,20.40816326530614,0.0,0.0,1.6653345369377348e-16,0.5109574371769653,536.5053090358135,178.5,0.17,0.20000000000000018,20.000000000000018,0.6858704241984253,0.0,-0.0,0.0,0.0,35.0
32,15.333333333333332,2.3,8.641975308641975,8.024691358024693,28.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.6850065019305013,1404.2633289575276,20.40816326530614,0.0,0.0,1.6653345369377348e-16,0.36000505622458434,378.0053090358136,178.5,0.17,0.20000000000000018,20.000000000000018,0.703482858060859,0.0,-0.0,0.0,0.0,35.0
